Dataset,Method,Avg_Speed (tokens/s),Speed_Std,Avg_Action_Length
mt_bench,baseline,51.14177919823732,3.5436589059591883,
mt_bench,hass,127.14338298966913,22.525555889470084,
mt_bench,radar,131.14600039861895,19.92030685338807,4.511772205694857
alpaca,baseline,52.21213631509114,3.4318940477214426,
alpaca,hass,136.03560530021645,26.132243828930786,
alpaca,radar,142.79338085166867,19.84220757292687,4.499496981891348
gsm8k,baseline,51.73788631537466,1.189674949997599,
gsm8k,hass,139.91174740677818,16.96952718269726,
gsm8k,radar,144.62451373788704,12.759628370474983,5.223989818644607
mbpp,baseline,54.64501870285175,0.5227263867957987,
mbpp,hass,156.73413483040844,20.489763173901938,
mbpp,radar,165.5756673657244,15.48959112463084,5.424203549283729
